Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,Item_Visibility_MeanRatio,Outlet_Years,Outlet,Item_Fat_Content_Low Fat,Item_Fat_Content_Non-Edible,Item_Fat_Content_Regular,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Category_Drink,Item_Category_Food,Item_Category_Non-consumable
FDA15,9.3,0.016047301,249.8092,OUT049,3735.138,0.9310779543761083,14,9,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
DRC01,5.92,0.019278216,48.2692,OUT018,443.4228,0.9334195208758378,4,3,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
FDN15,17.5,0.016760075,141.618,OUT049,2097.27,0.9600687539048446,14,9,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDX07,19.2,0.017834337888888892,182.095,OUT010,732.38,1.0,15,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
NCD19,8.93,0.009779828555555557,53.8614,OUT013,994.7052,1.0,26,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
FDP36,10.395,0.057058688875,51.4008,OUT018,556.6088,1.0,4,3,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
FDO10,13.65,0.012741088999999999,57.6588,OUT013,343.5528,1.4971974776517427,26,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDP10,12.792854228644991,0.127469857,107.7622,OUT027,4022.7636,0.8704928816397633,28,5,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDH17,16.2,0.016687114,96.9726,OUT045,1076.5986,0.9241603619293527,11,7,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
FDU28,19.2,0.09444959,187.8214,OUT017,4710.535,0.9639830398302507,6,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
FDY07,11.8,0.040626524444444444,45.5402,OUT049,1516.0266,1.0,14,9,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDA03,18.5,0.045463773,144.1102,OUT046,2187.153,1.0366952071584155,16,8,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDX32,15.1,0.1000135,145.4786,OUT049,1589.2646,1.026359813124039,14,9,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
FDS46,17.6,0.047257328,119.6782,OUT046,2145.2076,0.922289906298101,16,8,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
FDF32,16.35,0.06802430000000001,196.4426,OUT013,1977.4260000000002,1.1713313653743493,26,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDP49,9.0,0.06908896099999999,56.3614,OUT046,1547.3192,1.0280725124413592,16,8,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
NCB42,11.8,0.008596051,115.3492,OUT018,1621.8888,1.0031395479206202,4,3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
FDP49,9.0,0.06919637599999999,54.3614,OUT049,718.3982,1.0296708923753675,14,9,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
DRI11,12.792854228644991,0.034237682,113.2834,OUT027,2303.6679999999997,0.8704928693111866,28,5,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
FDU02,13.35,0.10249212,230.5352,OUT035,2748.4224,0.922115518306462,9,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDN22,18.85,0.138190277,250.8724,OUT013,3775.086,1.1399044941112717,26,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
FDW12,12.792854228644991,0.035399923,144.5444,OUT027,4064.0432,0.9543090781180374,28,5,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
NCB30,14.6,0.025698133999999997,196.5084,OUT035,1587.2672,0.8628943947372766,9,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDC37,12.792854228644991,0.057556998,107.6938,OUT019,214.3876,1.5315371875133978,28,4,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
FDR28,13.85,0.025896485,165.021,OUT046,4078.025,0.9296326154440038,16,8,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
NCD06,13.0,0.099887103,45.906000000000006,OUT017,838.908,0.9275067672165533,6,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDV10,7.645,0.06669343700000001,42.3112,OUT035,1065.28,1.0602351029427202,9,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
DRJ59,11.65,0.019356131999999998,39.1164,OUT013,308.9312,1.035277578029896,26,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
FDE51,5.925,0.161466534,45.5086,OUT010,178.4344,1.4445814400022103,15,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
FDC14,12.792854228644991,0.072221801,43.6454,OUT019,125.8362,1.679002681283213,28,4,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
FDV38,19.25,0.17034855100000001,55.7956,OUT010,163.7868,1.4641166675359907,15,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
NCS17,18.6,0.080829372,96.4436,OUT018,2741.7644,1.0031395405819457,4,3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
FDP33,18.7,0.0930934742,256.6672,OUT018,3068.0064,1.0,4,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDO23,17.85,0.14246229066666669,93.1436,OUT045,2174.5028,1.0,11,7,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
DRH01,17.5,0.097904029,174.8738,OUT046,2085.2856,0.9222899199987084,16,8,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
NCX29,10.0,0.08929113699999999,146.7102,OUT049,3791.0652,0.8760887635003263,14,9,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
FDV20,12.792854228644991,0.059511812000000004,128.0678,OUT027,2797.6916,0.9544539631769144,28,5,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
DRZ11,8.85,0.113123893,122.5388,OUT018,1609.9044,1.003139534910143,4,3,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
FDX10,12.792854228644991,0.12311145300000001,36.9874,OUT027,388.1614,1.0227997426879307,28,5,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
FDB34,12.792854228644991,0.026480953999999998,87.6198,OUT027,2180.495,0.9251308290764401,28,5,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDU02,13.35,0.102511504,230.6352,OUT046,3435.528,0.9222899150035627,16,8,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDK43,9.8,0.02681843,126.00200000000001,OUT013,2150.534,0.9215224160526706,26,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDA46,13.6,0.117818348,192.9136,OUT049,2527.3768,0.9310779364692868,14,9,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDC02,21.35,0.06910283099999999,259.9278,OUT018,6768.5228,0.9334195377024116,4,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
